seed,rotate,pair_group,vision_result,vision_failed_conditions,vision_rel_x_m,vision_rel_y_m,vision_rel_z_m,vision_orientation_alignment,vision_inhand_status,vision_inhand_bias_m,vision_stop_reason,vision_actions,vision_cost_step,vision_cost_time_s,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s
1000012,pi,freeze_only_success,failed,z_depth+orientation+inhand_bias,0.008487722,0.000094050,-0.006446133,0.492279638,fail,0.040823670,inhand_early_stop,147,570,54.463408,success,,-0.000820750,0.000454200,-0.040497373,0.999938524,pass_implied,,success,168,605,61.469820
1000013,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008334651,-0.001273836,-0.007707002,0.573645557,fail,0.040525106,inhand_early_stop,210,611,64.836607,failed,z_depth+orientation+inhand_bias,0.006355288,-0.000779169,-0.011372561,0.737477661,fail,0.040377985,inhand_early_stop,191,594,60.978541
1000014,0,both_failed,failed,z_depth+inhand_bias,0.002688413,0.001062923,-0.019092249,0.991983852,fail,0.040647154,inhand_early_stop,198,592,62.367185,failed,z_depth+inhand_bias,0.002389781,0.000622902,-0.023436724,0.994807828,fail,0.040256711,inhand_early_stop,175,575,57.349442
1000015,pi,vision_only_success,success,,-0.001995800,0.000208692,-0.041367489,0.999507144,pass_implied,,success,180,564,57.130699,failed,z_depth+orientation+inhand_bias,0.003226854,0.000458466,-0.016383319,0.901504701,fail,0.040320188,inhand_early_stop,101,533,46.390318
1000016,0,both_failed,failed,z_depth+inhand_bias,0.002154926,0.002326961,-0.029570371,0.995903422,fail,0.040756152,inhand_early_stop,222,631,66.783774,failed,z_depth+inhand_bias,0.001723579,0.001605965,-0.026807214,0.994647214,fail,0.040350096,inhand_early_stop,196,609,62.578703
1000017,0,both_failed,failed,z_depth+inhand_bias,0.001852067,-0.000220240,-0.027555126,0.996207329,fail,0.040676512,inhand_early_stop,165,607,58.951103,failed,z_depth+orientation+inhand_bias,-0.009185972,0.000087832,-0.008473714,0.624606378,fail,0.040273112,inhand_early_stop,171,596,57.534358
1000018,0,both_success,success,,0.001222348,-0.000727151,-0.040313821,0.998457087,pass_implied,,success,228,622,65.609707,success,,0.000585305,-0.000982729,-0.041268416,0.998565846,pass_implied,,success,227,613,64.965553
1000019,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008733469,0.000352117,-0.008254973,0.598424107,fail,0.040350270,inhand_early_stop,214,600,62.460360,failed,z_depth+orientation+inhand_bias,0.001911543,-0.000095701,-0.020401493,0.976761863,fail,0.040160388,inhand_early_stop,208,590,62.139641
1000020,pi,both_failed,failed,z_depth+orientation,0.004736267,-0.002240154,-0.013475537,0.828474345,unknown_not_recorded,,action_limit,300,739,77.332070,failed,x+z_depth+orientation+inhand_bias,-0.015583800,-0.008910353,-0.008273314,0.959455661,fail,0.040007700,inhand_early_stop,180,580,57.526478
1000021,pi,both_failed,failed,z_depth+orientation+inhand_bias,-0.001740466,0.000129889,-0.021556874,0.988913147,fail,0.040118549,inhand_early_stop,192,609,59.687235,failed,z_depth+inhand_bias,-0.002412751,-0.000363409,-0.021164015,0.994064210,fail,0.040169180,inhand_early_stop,186,564,58.760264
1000022,pi,both_failed,failed,z_depth+inhand_bias,-0.001682883,0.000400699,-0.030395850,0.997092776,fail,0.040443098,inhand_early_stop,189,596,58.998697,failed,z_depth+orientation+inhand_bias,0.005712863,-0.000094865,-0.014219281,0.852058291,fail,0.040327232,inhand_early_stop,107,519,46.385875
1000023,pi,both_failed,failed,z_depth+inhand_bias,-0.008789561,-0.009302700,-0.003344154,0.999018543,fail,0.040048316,inhand_early_stop,142,526,49.739082,failed,z_depth+inhand_bias,-0.002122761,-0.001384225,-0.025210257,0.995145413,fail,0.040401897,inhand_early_stop,171,586,57.574589
1000024,0,both_failed,failed,z_depth+inhand_bias,0.001594326,-0.000466542,-0.023547786,0.992857083,fail,0.040941896,inhand_early_stop,168,571,55.584471,failed,z_depth+inhand_bias,0.001419898,-0.000617934,-0.029393833,0.996378489,fail,0.040529661,inhand_early_stop,178,566,57.386310
1000025,0,both_success,success,,0.001543356,-0.000599651,-0.040063312,0.999854951,pass_implied,,success,171,581,54.444133,success,,0.001883441,-0.000141745,-0.040484645,0.999414061,pass_implied,,success,150,532,52.311203
1000026,0,both_success,success,,0.000968815,-0.000535279,-0.041239130,0.998638247,pass_implied,,success,173,560,54.447760,success,,0.001277263,-0.000491961,-0.040253392,0.998669419,pass_implied,,success,169,558,55.537463
1000027,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008072711,0.001455235,-0.006094690,0.468917868,fail,0.040455824,inhand_early_stop,173,576,56.594513,failed,z_depth+inhand_bias,-0.002405217,0.000995687,-0.021893192,0.993858165,fail,0.040607790,inhand_early_stop,160,563,55.729304
1000028,0,vision_only_success,success,,0.000312357,-0.000526644,-0.040344304,0.999408219,pass_implied,,success,211,602,61.349919,failed,z_depth+orientation+inhand_bias,-0.008207182,0.001669178,0.001600443,0.574516965,fail,0.040047377,inhand_early_stop,179,555,57.744037
1000029,pi,both_failed,failed,z_depth+inhand_bias,-0.002202714,0.000378526,-0.033090919,0.998238927,fail,0.040481628,inhand_early_stop,227,617,63.862419,failed,z_depth+inhand_bias,-0.001880601,0.000797299,-0.034803095,0.998461565,fail,0.040404701,inhand_early_stop,216,622,65.693028
